WEB_NAME,MONEY,CONVERSION_VALUE,ROAS,MONEY_THOUSANDS
Drbárna.cz,111831.6,1061727.52,9.493984884415497,111.83160000000001
Aktualitky.cz,63708.409999999996,457857.13,7.186761214100305,63.70840999999999
Poštovna.cz,27290.35,190527.84,6.981509581225598,27.29035
Kámoši.net,51777.1,297897.44,5.753459347858416,51.7771
Kliknito.cz,432067.22000000003,1977727.82,4.5773614114951835,432.06722
Pozdní Zprávy,221056.24,883428.7,3.9963979302280723,221.05624
ProTety.cz,7883.12,11242.16,1.4261053998924285,7.88312
Blogeria.cz,17294.1,19941.21,1.1530643398615714,17.2941
Baráky.cz,32734.329999999998,12673.230000000001,0.3871540978538434,32.73433
Kopačka.cz,20744.37,6743.42,0.3250722967243643,20.74437
